Entidad,Año,POB_TOT,IM,ANALF,SBASC,OVSDE,OVSEE,OVSAE,OVPT,VHAC,PL_5000,PO2SM,Tasa_Delictiva
SONORA,2016,2869232.0,18.20673629696906,2.154421604835222,26.4222271284627,0.9690308657766706,0.9729598922394604,2.273326800777132,2.570611222989334,24.63175109305364,16.94185944866808,36.58442774536622,1422.1575669029203
TABASCO,2016,2396737.2,15.63090066865212,5.339060839215542,32.68063222462952,1.84663598499477,0.4457589538443948,9.318007048907882,3.6290318306152622,31.22044914215246,53.57231704318122,43.91642044851662,2503.111313163579
TAMAULIPAS,2016,3458905.4,17.95188629340976,2.943694371822002,30.97635824958648,0.3451001888715362,0.6727001631694002,2.333338991398692,1.497115963416942,26.44074224419182,13.38356234574294,45.1622210826999,1451.3551021083144
TLAXCALA,2016,1286873.0,16.710276469406622,3.854967055163606,31.4240151900133,1.3005261660275844,0.460613514386162,1.087930101903617,1.9616075874042678,30.04510472715404,35.5426833248407,56.93520608169356,530.743904021609
VERACRUZ DE IGNACIO DE LA LLAVE,2016,8102519.8,13.2094244065592,9.309757261266371,44.28242247278876,1.513601564548516,1.510787676129356,12.448002530267278,6.667858908519384,30.24574926554002,46.13344192360384,55.3651983445014,530.9582828788645
YUCATAN,2016,2141919.6,13.58979337396912,7.17250529646001,37.6616868253368,9.25828956628871,1.0033720007227802,1.526139683804332,1.621416506789726,34.372380272222856,25.68296294901544,52.0196517684265,1602.020916191252
ZACATECAS,2016,1587794.8,16.07499632217674,4.28838321920482,37.97549893178996,3.820448777723858,0.5916677875132265,2.869482590627646,1.248062015904298,23.24458318573588,47.43306700909448,50.70139894673832,1107.7627915143694
AGUASCALIENTES,2017,1357769.2,19.61266658384164,2.405592113799242,27.2643839962582,0.5482868721727158,0.2752754710682258,0.709425091729191,0.7616433277523558,18.37021538609258,23.60682460906676,44.16419137645204,2473.027080007412
BAJA CALIFORNIA,2017,3497067.6,19.63060193613778,1.908587458169182,27.91936386638318,0.2413003112971132,0.5171222205753366,2.53045804305222,1.455151742809452,19.65516289276796,9.591596618185724,43.127653675366034,3243.1457716173404
BAJA CALIFORNIA SUR,2017,746596.2,18.9817121009515,2.437772796092602,27.25630809191642,0.39986630219924396,1.0661766998196236,6.445475066685468,4.473827478555498,23.1789223156728,13.48331417144998,31.613814878012278,3279.550579014466
CAMPECHE,2017,911303.8,15.33275378775078,6.35418272236203,33.35884659589138,3.4582175885786923,1.37166537337704,5.483889067445914,2.84436011581976,34.74859774433598,30.494829025112082,52.41886946696736,234.93811833112076
CHIAPAS,2017,5348276.0,9.86934240190486,14.4707303510076,51.28815920769162,2.7482508377478743,2.210742736150682,12.33792613077578,12.020666461424799,41.11410230149936,57.768004031330165,71.70614488206172,477.050922577668
CHIHUAHUA,2017,3630692.0,18.099134254035498,2.65237726492157,30.90709291028808,1.395517106384104,1.747715333666836,2.0960555532991942,1.928654904601494,18.735294345728562,15.98430594119654,47.5412173132211,1977.2263799848622
CIUDAD DE MEXICO,2017,9209944.0,23.1431092825321,1.42962125095984,17.6419644813308,0.0519522363374757,0.0518195615506952,1.24110360741188,0.633648831513289,14.3978042602539,1.00798658493472,56.1321676549178,2219.0905829611993
COAHUILA DE ZARAGOZA,2017,3031657.4,20.05884025043828,1.861674280526724,25.43087290576814,0.491930215699567,0.2423890541140828,1.3756186818542444,0.6937719941321175,19.5608249870975,11.30503418945434,40.77866383548354,1867.2624419896522
COLIMA,2017,719297.4,19.07240204754496,3.689748586111446,31.404513025762377,0.3418118573870224,0.3612062303148896,0.839588460308719,2.5175824308225963,21.51620242124138,14.08362203975368,42.59803630483752,3413.747915674379
DURANGO,2017,1785912.4,16.354437211616002,2.994744767811114,31.67254280815144,3.3561166234598,2.414546130978446,2.87805821816535,4.299670543717518,21.23521142384868,34.71241275455842,51.19853722828036,1988.0594367338513
GUANAJUATO,2017,5978979.8,16.83238122880558,5.950783077411562,38.4715669079636,2.789559168363784,0.5563091451565412,3.6457728233536404,2.168723271223054,21.97605862867108,34.10814073669768,49.27980358162358,2004.489127058098
GUERRERO,2017,3536224.6,8.552668799158507,13.225918085928539,46.011643358133036,11.68359129184096,2.00302995222934,14.00490786948596,15.02289428627514,38.41252327288258,49.06652697663818,64.08650772365064,948.469166805751
HIDALGO,2017,2948151.8,15.356520320133201,7.606469149116806,33.76538987984566,2.627088692650654,0.9248694495310112,5.044872020597466,3.056459445852492,24.30622219810292,56.76017552672976,57.30762160467988,1500.8725127383198
JALISCO,2017,8046158.4,19.27679622062782,3.286888804257612,33.44751930172354,0.7501793835999738,0.3221769730199542,1.4028991407934592,1.61508734125108,18.88399365722194,16.96425147825612,39.981017173592264,2087.0332356370213
MEXICO,2017,16509532.0,18.47062290409472,3.1807403204134177,28.032405395386938,1.51080630978555,0.33369791659015297,3.53105532872065,1.98500377641986,25.39638023987626,19.12385603095442,47.56720135865684,2132.51956506096
MICHOACAN DE OCAMPO,2017,4650221.0,15.6292886743922,7.8296821598876525,46.31297848974324,1.971317566665802,0.6798519709598656,3.681316623332444,5.7733876901850945,24.36010756524734,39.357653840895395,55.17665817856954,921.6336169829347
